Type,Name,Attractiveness,Maintainence_budget,Intelligence
1,G1,8,660,45
1,G2,7,179,91
2,G3,3,46,49
2,G4,9,450,81
1,G5,1,386,73
2,G6,9,811,69
2,G7,7,39,48
1,G8,6,553,61
2,G9,1,499,91
1,G10,8,455,6
2,G11,5,873,25
2,G12,2,741,12
3,G13,10,194,46
2,G14,9,362,1
3,G15,3,589,87
1,G16,7,657,37
3,G17,8,488,48
3,G18,6,478,95
3,G19,1,974,60
3,G20,4,576,46
1,G21,10,752,16
2,G22,7,294,45
1,G23,7,662,68
3,G24,7,636,48
3,G25,5,590,40
2,G26,9,277,36
1,G27,2,768,3
1,G28,9,407,78
2,G29,10,490,19
2,G30,1,540,87
3,G31,2,991,66
2,G32,3,405,97
3,G33,5,624,54
3,G34,9,775,40
1,G35,6,237,54
3,G36,5,503,37
2,G37,7,314,26
2,G38,3,751,30
3,G39,3,645,50
3,G40,5,337,4
2,G41,9,259,95
2,G42,10,512,47
3,G43,4,8,32
2,G44,10,804,41
2,G45,2,862,2
3,G46,7,972,15
1,G47,9,122,96
1,G48,10,779,61
2,G49,4,628,99
3,G50,9,141,14
1,G51,7,924,66
3,G52,8,960,53
2,G53,8,224,63
2,G54,7,70,81
2,G55,9,323,24
3,G56,4,135,1
3,G57,8,149,98
1,G58,9,241,72
3,G59,10,511,25
1,G60,6,738,17
3,G61,4,557,25
1,G62,9,865,28
1,G63,2,788,25
1,G64,6,626,55
3,G65,7,19,47
3,G66,4,985,29
1,G67,4,803,90
3,G68,4,891,98
2,G69,6,153,99
2,G70,5,74,72
2,G71,2,49,4
2,G72,8,271,83
3,G73,8,626,8
1,G74,5,696,53
3,G75,2,726,72
1,G76,5,169,55
1,G77,7,816,26
3,G78,8,652,2
1,G79,4,309,90
1,G80,3,779,86
3,G81,8,334,79
1,G82,3,146,41
1,G83,1,130,41
2,G84,8,791,56
1,G85,7,110,14
1,G86,2,84,24
2,G87,10,294,32
2,G88,2,657,39
1,G89,2,418,1
2,G90,4,340,68
3,G91,10,844,79
1,G92,1,290,82
2,G93,5,22,51
2,G94,6,941,21
2,G95,7,607,73
2,G96,9,653,18
2,G97,7,388,93
2,G98,1,201,82
3,G99,6,680,36
3,G100,8,533,27
